,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
78,500101133,YouBike2.0_捷運忠孝復興站(2號出口),43,31,大安區,2023-05-27 14:23:15,25.04035,121.5436,復興南路一段/仁愛路三段123巷13弄(西北側),Daan Dist.,YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 2),Sec. 1， Fuxing S. R & Aly. 13， Ln. 123， Sec. 3， Ren'ai Rd. (Northwest),10,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
80,500101135,YouBike2.0_捷運大安站(2號出口),22,5,大安區,2023-05-27 14:23:15,25.03358,121.54141,信義路3段143號(前),Daan Dist.,YouBike2.0_MRT Da’an Sta (Exit 2),No. 143， Sec. 3， Xinyi Rd.,17,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
82,500101137,YouBike2.0_龍門廣場,50,35,大安區,2023-05-27 14:22:14,25.04092,121.54825,敦化南路一段與敦化南路一段236巷口,Daan Dist.,YouBike2.0_Long Men Plaza,Sec. 1， Dunhua S. Rd & Ln. 236， Sec. 1， Dunhua S. Rd Intersection.,14,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
89,500101144,YouBike2.0_捷運大安森林公園站(2號出口),62,5,大安區,2023-05-27 14:22:14,25.03332,121.53435,捷運大安森林公園站(2號出口)西側,Daan Dist.,YouBike2.0_MRT Daan Park Sta. (Exit 2),MRT Daan Park Sta. (Exit 2) (West),57,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
92,500101147,YouBike2.0_僑安地下停車場(2號出口)東南側,20,16,大安區,2023-05-27 14:18:13,25.0391,121.5569,光復南路290巷5號,Daan Dist.,YouBike2.0_Qiao An Dixia Parking (Exit 2) (Southeast),No. 5， Ln. 290， Guangfu S. Rd,3,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:18:13,2023-05-27
93,500101148,YouBike2.0_建國南路一段279巷口,32,14,大安區,2023-05-27 14:23:15,25.03635,121.53833,建國南路一段275號,Daan Dist.,YouBike2.0_Ln. 279， Sec. 1， Jianguo S. Rd Intersection,No. 275， Sec. 1， Jianguo S. Rd.,18,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
95,500101150,YouBike2.0_捷運忠孝新生站(4號出口),34,5,大安區,2023-05-27 14:22:14,25.04239,121.53324,忠孝新生路口北側,Daan Dist.,YouBike2.0_MRT Zhongxiao Xinsheng Sta. (Exit 4),Zhongxiao & Xinsheng S. Rd Intersection. (North),28,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
98,500101153,YouBike2.0_瑠公公園,20,18,大安區,2023-05-27 14:24:14,25.04201,121.54612,忠孝東路四段49巷4弄/大安路口,Daan Dist.,YouBike2.0_Liugong Park,Aly. 4， Ln. 49， Sec. 4， Zhongxiao E. Rd./Da'an Rd. Intersection,1,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
99,500101154,YouBike2.0_敦化市民路口,23,4,大安區,2023-05-27 14:21:15,25.04405,121.5486,敦化南路1段158號(前),Daan Dist.,YouBike2.0_Dunhua S. Rd. & Civic Blvd. Intersection,No. 158， Sec. 1， Dunhua S. Rd.,16,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
101,500101156,YouBike2.0_信義建國路口,38,20,大安區,2023-05-27 14:24:14,25.0328,121.53746,建國南路二段與信義路三段口西南側,Daan Dist.,YouBike2.0_Xinyi Rd. & Jianguo Rd. Intersection,Sec. 2， Jianguo S Rd. & Sec. 3， Xinyi Rd. Intersection (Southwest),16,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
104,500101159,YouBike2.0_捷運忠孝復興站(5號出口),41,23,大安區,2023-05-27 14:23:15,25.04262,121.54443,復興南路一段135巷3號(對面),Daan Dist.,YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 5),No. 3， Ln. 135， Sec. 1， Fuxing S. Rd. (Opposite),18,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
105,500101160,YouBike2.0_捷運忠孝敦化站(2號出口),17,6,大安區,2023-05-27 14:22:14,25.04153,121.5524,忠孝東路四段221號,Daan Dist.,YouBike2.0_MRT Zhongxiao Dunhua Sta. (Exit 2),No. 221， Sec. 4， Zhongxiao E. Rd.,11,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
106,500101161,YouBike2.0_捷運忠孝敦化站(7號出口),18,10,大安區,2023-05-27 14:22:14,25.04159,121.54937,忠孝東路四段143號,Daan Dist.,YouBike2.0_MRT Zhongxiao Dunhua Sta. (Exit 7),No. 143， Sec. 4， Zhongxiao E. Rd.,7,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
107,500101163,YouBike2.0_瑞安街208巷,15,4,大安區,2023-05-27 14:05:16,25.02979,121.54053,瑞安街208巷39號對面,Daan Dist.,YouBike2.0_Ln. 208， Rui'an St.,No. 39， Ln. 208， Rui'an St. (Opposite),11,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:05:16,2023-05-27
110,500101167,YouBike2.0_捷運國父紀念館站(2號出口),38,28,大安區,2023-05-27 14:21:15,25.04122,121.55745,忠孝東路四段/光復南路口(西南側),Daan Dist.,YouBike2.0_MRT S.Y.S Memorial Hall Stataion(Exit 2.),Sec. 4， Jhongsiao E. Rd. & Guangfu S. Rd. Intersection (Southwest),9,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
112,500101169,YouBike2.0_捷運信義安和站(4號出口),30,6,大安區,2023-05-27 14:24:14,25.03305,121.55378,信義路四段252號前,Daan Dist.,YouBike2.0_MRT Xinyi Anhe Sta.(Exit.4),No. 252， Sec. 4， Sinyi Rd.,23,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
113,500101170,YouBike2.0_成功國宅,30,8,大安區,2023-05-27 14:21:15,25.02681,121.54668,和平東路三段1巷/四維路198巷口(西北側),Daan Dist.,YouBike2.0_Chengong Public Housing,Ln. 1， Sec. 3， Heping E. Rd. & Ln. 198， Sihwei Rd. Intersection (Northwest),22,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
114,500101171,YouBike2.0_仁愛延吉街口,25,7,大安區,2023-05-27 14:11:14,25.03748,121.55564,仁愛路四段376號前,Daan Dist.,YouBike2.0_Renai & Yanji Intersection,No. 376， Sec. 4， Ren'ai Rd.,18,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:11:14,2023-05-27
117,500101174,YouBike2.0_復興南路二段128巷口,28,6,大安區,2023-05-27 14:21:15,25.02861,121.54336,復興南路二段142之1號前,Daan Dist.,YouBike2.0_Ln. 128， Sec. 2， Fuxing S. Rd.,No. 142-1， Sec. 2， Fusing S. Rd.,22,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
118,500101175,YouBike2.0_和平東建國南路口,17,14,大安區,2023-05-27 14:21:15,25.02575,121.5377,和平東路/建國南路口(北側),Daan Dist.,YouBike2.0_Heping E. Rd. & Jianguo S. Rd. Intersection,Heping E. Rd. & Jianguo S. Rd. Intersection (North),2,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
120,500101177,YouBike2.0_復興南路一段126巷口,15,15,大安區,2023-05-27 14:23:04,25.04311,121.54313,復興南路一段126巷1號前,Daan Dist.,YouBike2.0_Ln. 126， Sec. 1， Fuxing S. Rd.,No. 1， Ln. 126， Sec. 1， Fuxing S. Rd.,0,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:04,2023-05-27
121,500101179,YouBike2.0_捷運東門站(5號出口),28,5,大安區,2023-05-27 14:23:15,25.03363,121.52962,信義路二段178號前,Daan Dist.,YouBike2.0_MRT Dongmen Sta. (Exit 5),No. 178， Sec. 2， Xinyi Rd.,22,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
122,500101180,YouBike2.0_仁愛路四段48巷口,11,11,大安區,2023-05-27 14:23:15,25.03609,121.54709,仁愛路四段48巷/東豐街(北側),Daan Dist.,YouBike2.0_Ln. 48， Sec. 4， Ren'ai Rd.,Ln. 48， Sec. 4， Ren'ai Rd. & Dongfeng St. Intersection (North),0,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
123,500101181,YouBike2.0_捷運公館站(3號出口),90,9,大安區,2023-05-27 14:24:14,25.01551,121.53374,捷運公館站(3號出口)西側,Daan Dist.,YouBike2.0_MRT Gongguan Sta.(Exit.3),MRT Gongguan Sta.(Exit.3)(West),80,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
125,500101183,YouBike2.0_忠孝東路三段217巷口,34,15,大安區,2023-05-27 14:24:14,25.04176,121.54027,忠孝東路三段229-1號前,Daan Dist.,YouBike2.0_Ln. 217， Sec. 3， Zhongxiao E. Rd.,No. 229-1， Sec. 3， Zhongxiao E. Rd.,19,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
133,500101191,YouBike2.0_大安運動中心,27,21,大安區,2023-05-27 14:21:15,25.02054,121.54561,辛亥路三段55號前方人行道(大安運動中心),Daan Dist.,YouBike2.0_Taipei Daan Sports Center,No. 55， Sec. 3， Xinhai Rd.,5,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
134,500101192,YouBike2.0_和平敦化路口,25,6,大安區,2023-05-27 14:16:16,25.02444,121.54908,和平東路三段 / 敦化南路二段口(東側),Daan Dist.,YouBike2.0_Heping Rd. & Dunhua Rd. Intersection,Sec. 3， Heping E. Rd. & Sec. 2， Dunhua S. Rd. Intersection (East),18,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:16:16,2023-05-27
137,500101196,YouBike2.0_市民敦化路口,15,6,大安區,2023-05-27 14:17:33,25.04464,121.54944,敦化南路一段111號前,Daan Dist.,YouBike2.0_Civic Blvd. & Dunhua Rd. Intersection,No. 111， Sec. 1， Dunhua S. Rd.,9,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:17:33,2023-05-27
138,500101197,YouBike2.0_忠孝東路四段49巷口,15,4,大安區,2023-05-27 14:21:15,25.04172,121.54541,忠孝東路四段55號前,Daan Dist.,YouBike2.0_Ln. 49， Sec. 4， Zhongxiao E. Rd.,No. 55， Sec. 4， Zhongxiao E. Rd.,10,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
139,500101198,YouBike2.0_市民復興路口(東南側),16,6,大安區,2023-05-27 14:24:14,25.04472,121.54401,市民大道四段/復興路一段口(東南側),Daan Dist.,YouBike2.0_Civic Blvd. & Fuxing Rd. Intersection (Southeast),Sec. 4， Civic Blvd. & Sec. 1， Fuxing S. Rd. Intersection (Southeast),10,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
141,500101200,YouBike2.0_全安公園,16,6,大安區,2023-05-27 14:11:14,25.02535,121.55101,安和路二段227巷16號對側,Daan Dist.,YouBike2.0_Quanan Park,No. 16， Ln. 227， Sec. 2， Anhe Rd. (Opposite),10,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:11:14,2023-05-27
145,500101204,YouBike2.0_外交部外交及國際事務學院,17,4,大安區,2023-05-27 14:21:15,25.0371,121.54839,敦化南路一段280號,Daan Dist.,YouBike2.0_Institute of Diplomacy and International Affairs,No. 280， Sec. 1， Dunhua S. Rd.,13,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
147,500101206,YouBike2.0_捷運大安站(3號出口),44,17,大安區,2023-05-27 14:21:15,25.03328,121.5425,信義路三段184號前,Daan Dist.,YouBike2.0_MRT Da’an Sta. (Exit 3),No. 184， Sec. 3， Xinyi Rd.,26,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
149,500101208,YouBike2.0_信義路四段199巷,15,5,大安區,2023-05-27 14:22:14,25.03459,121.55164,信義路四段199巷/安和路一段90巷口,Daan Dist.,YouBike2.0_Ln. 199， Sec. 4， Xinyi Rd.,Ln. 199， Sec. 4， Xinyi Rd. & Ln. 90， Sec. 1， Anhe Rd. Intersection,9,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
150,500101209,YouBike2.0_臺大資訊大樓,40,20,大安區,2023-05-27 14:15:15,25.02101,121.54153,辛亥路二段(臺大外語學院外),Daan Dist.,YouBike2.0_NTU Information Building,Sec. 2， Xinhai Rd.(NTU Language Center),20,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:15:15,2023-05-27
